기간,구분,성별,합계,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,아시아(기타),북미,북미,유럽,유럽,유럽,유럽,유럽,오세아니아,중남미,아프리카,기타
기간,구분,성별,합계,소계,중국,중국(한국계),대만,일본,몽골,소계,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,말레이시아,라오스,동티모르,기타,소계,스리랑카,파키스탄,방글라데시,네팔,기타,소계,우즈베키스탄,카자흐스탄,키르기스탄,기타,아시아(기타),미국,캐나다,소계,러시아,러시아(한국계),영국,기타,오세아니아,중남미,아프리카,기타
2014,성동구,계,"12,399","9,017","2,329","5,964",210,239,275,"1,207",705,292,66,38,29,10,39,,,28,299,,,,,100,,,,,,,929,,,56,,,,,,,791
2014,성동구,남자,"5,575","3,854",923,"2,646",91,63,131,513,262,145,36,29,12,9,14,,,6,252,,,,,40,,,,,,,458,,,18,,,,,,,440
2014,성동구,여자,"6,824","5,163","1,406","3,318",119,176,144,694,443,147,30,9,17,1,25,,,22,47,,,,,60,,,,,,,471,,,38,,,,,,,351
2014,광진구,계,"20,187","17,499","3,862","12,692",164,550,231,875,507,173,59,46,40,10,18,,,22,305,,,,,105,,,,,,,768,,,85,,,,,,,550
2014,광진구,남자,"8,760","7,465","1,495","5,622",73,197,78,306,178,60,13,24,11,5,10,,,5,208,,,,,37,,,,,,,419,,,30,,,,,,,295
2014,광진구,여자,"11,427","10,034","2,367","7,070",91,353,153,569,329,113,46,22,29,5,8,,,17,97,,,,,68,,,,,,,349,,,55,,,,,,,255
2014,동대문구,계,"17,871","13,766","4,722","7,589",344,554,557,"1,416",680,325,61,67,68,18,61,,,136,483,,,,,336,,,,,,,631,,,172,,,,,,,"1,067"
2014,동대문구,남자,"7,450","5,529","1,723","3,357",110,133,206,465,207,123,8,25,29,5,31,,,37,367,,,,,142,,,,,,,318,,,65,,,,,,,564
2014,동대문구,여자,"10,421","8,237","2,999","4,232",234,421,351,951,473,202,53,42,39,13,30,,,99,116,,,,,194,,,,,,,313,,,107,,,,,,,503
2014,중랑구,계,"8,423","6,615","1,278","4,549",101,233,454,"1,070",707,236,61,16,42,3,2,,,3,105,,,,,100,,,,,,,297,,,43,,,,,,,193
2014,중랑구,남자,"3,299","2,618",412,"1,910",50,69,177,290,176,77,13,8,13,-,2,,,1,73,,,,,36,,,,,,,164,,,14,,,,,,,104
2014,중랑구,여자,"5,124","3,997",866,"2,639",51,164,277,780,531,159,48,8,29,3,-,,,2,32,,,,,64,,,,,,,133,,,29,,,,,,,89
2014,성북구,계,"13,017","8,481","3,476","3,527",385,456,637,"1,553",802,363,41,105,65,17,78,,,82,398,,,,,168,,,,,,,"1,164",,,132,,,,,,,"1,121"
2014,성북구,남자,"5,363","3,285","1,341","1,388",174,135,247,477,230,106,10,42,20,6,40,,,23,287,,,,,58,,,,,,,584,,,43,,,,,,,629
2014,성북구,여자,"7,654","5,196","2,135","2,139",211,321,390,"1,076",572,257,31,63,45,11,38,,,59,111,,,,,110,,,,,,,580,,,89,,,,,,,492
2014,강북구,계,"6,241","4,549",851,"3,198",125,201,174,928,567,202,53,9,77,3,3,,,14,82,,,,,92,,,,,,,311,,,25,,,,,,,254
2014,강북구,남자,"2,319","1,663",266,"1,209",53,73,62,258,130,71,14,4,31,2,1,,,5,59,,,,,30,,,,,,,155,,,9,,,,,,,145
2014,강북구,여자,"3,922","2,886",585,"1,989",72,128,112,670,437,131,39,5,46,1,2,,,9,23,,,,,62,,,,,,,156,,,16,,,,,,,109
2014,도봉구,계,"4,256","2,564",817,"1,382",62,188,115,811,413,269,36,13,57,10,-,,,13,58,,,,,70,,,,,,,442,,,8,,,,,,,303
2014,도봉구,남자,"1,630",914,235,552,36,52,39,273,97,115,18,6,21,8,-,,,8,50,,,,,21,,,,,,,212,,,2,,,,,,,158
2014,도봉구,여자,"2,626","1,650",582,830,26,136,76,538,316,154,18,7,36,2,-,,,5,8,,,,,49,,,,,,,230,,,6,,,,,,,145
2014,노원구,계,"6,656","4,250","1,351","2,193",145,406,155,811,474,198,25,30,59,5,5,,,15,140,,,,,85,,,,,,,790,,,41,,,,,,,539
2014,노원구,남자,"2,818","1,704",535,911,63,131,64,262,133,77,11,17,16,3,1,,,4,103,,,,,44,,,,,,,408,,,15,,,,,,,282
2014,노원구,여자,"3,838","2,546",816,"1,282",82,275,91,549,341,121,14,13,43,2,4,,,11,37,,,,,41,,,,,,,382,,,26,,,,,,,257
2014,은평구,계,"8,906","6,335","1,308","3,693",641,619,74,"1,179",735,212,55,44,81,6,15,,,31,80,,,,,122,,,,,,,688,,,36,,,,,,,466
2014,은평구,남자,"3,676","2,611",493,"1,503",345,246,24,348,192,69,11,23,29,4,5,,,15,57,,,,,44,,,,,,,350,,,13,,,,,,,253
2014,은평구,여자,"5,230","3,724",815,"2,190",296,373,50,831,543,143,44,21,52,2,10,,,16,23,,,,,78,,,,,,,338,,,23,,,,,,,213
2014,서대문구,계,"13,671","8,793","2,610","2,674","2,474",875,160,"1,244",419,166,162,79,44,22,60,,,292,359,,,,,143,,,,,,,"1,637",,,134,,,,,,,"1,361"
2014,서대문구,남자,"5,524","3,382",866,"1,031","1,245",194,46,316,112,41,40,32,11,4,21,,,55,219,,,,,50,,,,,,,835,,,36,,,,,,,686
2014,서대문구,여자,"8,147","5,411","1,744","1,643","1,229",681,114,928,307,125,122,47,33,18,39,,,237,140,,,,,93,,,,,,,802,,,98,,,,,,,675
2014,마포구,계,"14,471","9,771","2,601","4,342","1,617","1,103",108,"1,012",384,168,120,46,50,5,34,,,205,318,,,,,123,,,,,,,"1,654",,,93,,,,,,,"1,500"
2014,마포구,남자,"6,329","3,976",874,"1,815",792,450,45,310,114,46,41,18,21,1,14,,,55,211,,,,,48,,,,,,,922,,,34,,,,,,,828
2014,마포구,여자,"8,142","5,795","1,727","2,527",825,653,63,702,270,122,79,28,29,4,20,,,150,107,,,,,75,,,,,,,732,,,59,,,,,,,672
2014,양천구,계,"9,262","6,822","1,057","5,108",291,288,78,817,422,268,46,10,40,12,2,,,17,65,,,,,48,,,,,,,888,,,34,,,,,,,588
2014,양천구,남자,"3,921","2,882",341,"2,263",153,96,29,260,111,99,18,6,12,6,2,,,6,47,,,,,16,,,,,,,425,,,11,,,,,,,280
2014,양천구,여자,"5,341","3,940",716,"2,845",138,192,49,557,311,169,28,4,28,6,-,,,11,18,,,,,32,,,,,,,463,,,23,,,,,,,308
2014,강서구,계,"12,079","8,575","1,824","5,844",313,512,82,"1,207",597,390,57,57,49,14,23,,,20,241,,,,,140,,,,,,,864,,,94,,,,,,,958
2014,강서구,남자,"5,461","3,578",614,"2,543",175,211,35,448,161,173,25,37,16,8,21,,,7,169,,,,,58,,,,,,,482,,,39,,,,,,,687
2014,강서구,여자,"6,618","4,997","1,210","3,301",138,301,47,759,436,217,32,20,33,6,2,,,13,72,,,,,82,,,,,,,382,,,55,,,,,,,271
2014,구로구,계,"45,232","42,789","4,415","37,703",261,343,67,"1,069",541,257,83,32,65,39,39,,,13,199,,,,,127,,,,,,,539,,,62,,,,,,,447
2014,구로구,남자,"22,216","21,059","1,766","19,023",130,111,29,401,166,93,52,14,18,27,28,,,3,165,,,,,37,,,,,,,281,,,18,,,,,,,255
2014,구로구,여자,"23,016","21,730","2,649","18,680",131,232,38,668,375,164,31,18,47,12,11,,,10,34,,,,,90,,,,,,,258,,,44,,,,,,,192
2014,금천구,계,"28,018","26,333","3,470","22,523",85,133,122,"1,014",548,250,55,40,65,48,2,,,6,215,,,,,53,,,,,,,169,,,10,,,,,,,224
2014,금천구,남자,"13,805","12,975","1,396","11,435",44,35,65,434,182,109,32,27,35,45,1,,,3,176,,,,,33,,,,,,,96,,,6,,,,,,,85
2014,금천구,여자,"14,213","13,358","2,074","11,088",41,98,57,580,366,141,23,13,30,3,1,,,3,39,,,,,20,,,,,,,73,,,4,,,,,,,139
2014,영등포구,계,"58,927","55,700","4,723","50,199",487,215,76,859,420,191,58,62,37,57,11,,,23,194,,,,,93,,,,,,,"1,207",,,53,,,,,,,821
2014,영등포구,남자,"28,568","27,018","2,087","24,565",254,79,33,290,107,57,26,30,14,42,6,,,8,143,,,,,32,,,,,,,607,,,13,,,,,,,465
2014,영등포구,여자,"30,359","28,682","2,636","25,634",233,136,43,569,313,134,32,32,23,15,5,,,15,51,,,,,61,,,,,,,600,,,40,,,,,,,356
2014,동작구,계,"17,358","14,785","3,144","11,103",191,269,78,708,440,107,41,15,50,5,14,,,36,70,,,,,78,,,,,,,773,,,57,,,,,,,887
2014,동작구,남자,"7,804","6,520","1,278","5,020",90,107,25,244,161,26,15,3,19,2,9,,,9,51,,,,,25,,,,,,,404,,,19,,,,,,,541
2014,동작구,여자,"9,554","8,265","1,866","6,083",101,162,53,464,279,81,26,12,31,3,5,,,27,19,,,,,53,,,,,,,369,,,38,,,,,,,346
2014,관악구,계,"29,311","25,003","2,926","21,245",148,460,224,"1,501",738,239,79,77,107,17,166,,,78,384,,,,,173,,,,,,,976,,,107,,,,,,,"1,167"
2014,관악구,남자,"13,042","10,991","1,123","9,549",60,179,80,493,240,73,17,27,31,6,77,,,22,252,,,,,66,,,,,,,520,,,29,,,,,,,691
2014,관악구,여자,"16,269","14,012","1,803","11,696",88,281,144,"1,008",498,166,62,50,76,11,89,,,56,132,,,,,107,,,,,,,456,,,78,,,,,,,476
2014,서초구,계,"10,706","4,069",900,"2,498",190,454,27,461,151,137,54,21,33,18,8,,,39,178,,,,,40,,,,,,,"3,377",,,72,,,,,,,"2,509"
2014,서초구,남자,"5,100","1,709",449,921,83,244,12,167,49,35,26,12,15,8,4,,,18,105,,,,,13,,,,,,,"1,730",,,29,,,,,,,"1,347"
2014,서초구,여자,"5,606","2,360",451,"1,577",107,210,15,294,102,102,28,9,18,10,4,,,21,73,,,,,27,,,,,,,"1,647",,,43,,,,,,,"1,162"
2014,강남구,계,"13,036","4,817","1,193","2,491",221,873,39,588,244,122,79,34,26,8,27,,,48,372,,,,,101,,,,,,,"4,626",,,93,,,,,,,"2,439"
2014,강남구,남자,"6,476","2,059",621,859,116,452,11,295,137,47,46,20,7,6,12,,,20,250,,,,,30,,,,,,,"2,526",,,36,,,,,,,"1,280"
2014,강남구,여자,"6,560","2,758",572,"1,632",105,421,28,293,107,75,33,14,19,2,15,,,28,122,,,,,71,,,,,,,"2,100",,,57,,,,,,,"1,159"
2014,송파구,계,"13,688","9,357","1,550","7,069",173,479,86,927,507,218,62,38,46,21,4,,,31,90,,,,,69,,,,,,,"1,957",,,52,,,,,,,"1,236"
2014,송파구,남자,"6,021","3,986",558,"3,092",83,213,40,348,165,84,39,11,19,18,2,,,10,64,,,,,23,,,,,,,961,,,19,,,,,,,620
